# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
1.377186156552711502e+06	2.767009029526611430e-01	3.749992321408040822e+07	5.416988229006946363e+23	1.107243565008093000e+01	1.867247715742736958e+00	9.423398705886895099e-01	9.982830557295067075e-01
1.377922619738033740e+06	2.770318965708971626e-01	3.747327012103153020e+07	5.411635145427972396e+23	1.106459287479048470e+01	1.865920838149981664e+00	9.420390715302835449e-01	9.982833742457418724e-01
1.378659082923355978e+06	2.773630086398950478e-01	3.744662521485000104e+07	5.406285192248213174e+23	1.105675248940594635e+01	1.864594367934212960e+00	9.417381509438074172e-01	9.982836928087099881e-01
1.379395546108678216e+06	2.776942389177749493e-01	3.741998850911266357e+07	5.400938371466856518e+23	1.104891449792642355e+01	1.863268305771382805e+00	9.414371088755673078e-01	9.982840114182632840e-01
1.380132009294000454e+06	2.780255871626059472e-01	3.739336001736982167e+07	5.395594685074733185e+23	1.104107890434310946e+01	1.861942652336097348e+00	9.411359453718514123e-01	9.982843300742541004e-01
1.380868472479322692e+06	2.783570531324068287e-01	3.736673975314533710e+07	5.390254135054328272e+23	1.103324571263956955e+01	1.860617408301667330e+00	9.408346604789412648e-01	9.982846487765346666e-01
1.381604935664644931e+06	2.786886365851461433e-01	3.734012772993639112e+07	5.384916723379783902e+23	1.102541492679152668e+01	1.859292574340065674e+00	9.405332542431029674e-01	9.982849675249573229e-01
1.382341398849967169e+06	2.790203372787433134e-01	3.731352396121454984e+07	5.379582452016911305e+23	1.101758655076718973e+01	1.857968151121992761e+00	9.402317267105999576e-01	9.982852863193741877e-01
1.383077862035289407e+06	2.793521549710687446e-01	3.728692846042416245e+07	5.374251322923200209e+23	1.100976058852681483e+01	1.856644139316798059e+00	9.399300779276763551e-01	9.982856051596376012e-01
1.383814325220611645e+06	2.796840894199445482e-01	3.726034124098397791e+07	5.368923338047822873e+23	1.100193704402316541e+01	1.855320539592554940e+00	9.396283079405732819e-01	9.982859240455995709e-01
